11000001	21000311	A-C00311
11000001	21000312	A-C00312
11000001	21000313	A-C00313
11000001	21000314	A-C00314
11000001	21000315	A-C00315
11000001	21000316	A-C00316
11000001	21000317	A-C00317
11000001	21000318	A-C00318
11000001	21000319	A-C00319
11000001	21000320	A-C00320
11000001	21000321	A-C00321
11000001	21000322	A-C00322
11000001	21000323	A-C00323
11000002	21000001	A-C00001
11000002	21000002	A-C00002
11000002	21000003	A-C00003
11000002	21000004	A-C00004
11000002	21000005	A-C00005
11000002	21000006	A-C00006
11000002	21000007	A-C00007
11000002	21000008	A-C00008
11000002	21000009	A-C00009
11000002	21000010	A-C00010
11000002	21000011	A-C00011
11000002	21000012	A-C00012
11000002	21000013	A-C00013
11000002	21000014	A-C00014
11000003	21000015	A-C00015
11000003	21000016	A-C00016
11000003	21000017	A-C00017
11000003	21000018	A-C00018
11000003	21000019	A-C00019
11000003	21000020	A-C00020
11000004	21000021	B-C00021
11000004	21000022	B-C00022
11000004	21000023	B-C00023
11000004	21000024	B-C00024
11000004	21000025	B-C00025
11000004	21000026	B-C00026
11000004	21000027	B-C00027
11000004	21000028	B-C00028
11000004	21000029	B-C00029
11000004	21000030	B-C00030
11000005	21000031	B-C00031
11000005	21000032	B-C00032
11000005	21000033	B-C00033
11000005	21000034	B-C00034
11000005	21000035	B-C00035
11000005	21000036	B-C00036
11000005	21000037	B-C00037
11000005	21000038	B-C00038
11000005	21000039	B-C00039
11000005	21000040	B-C00040
11000006	21000041	B-C00041
11000006	21000042	B-C00042
11000006	21000043	B-C00043
11000006	21000044	B-C00044
11000006	21000045	B-C00045
11000006	21000046	B-C00046
11000006	21000047	B-C00047
11000006	21000048	B-C00048
11000006	21000049	B-C00049
11000006	21000050	B-C00050
11000006	21000051	B-C00051
11000006	21000052	B-C00052
11000006	21000053	B-C00053
11000006	21000054	B-C00054
11000007	21000055	B-C00055
11000007	21000056	B-C00056
11000007	21000057	B-C00057
11000007	21000058	B-C00058
11000007	21000059	B-C00059
11000008	21000060	B-C00060
11000008	21000061	B-C00061
11000008	21000062	B-C00062
11000008	21000063	B-C00063
11000008	21000064	B-C00064
11000008	21000065	B-C00065
11000008	21000066	B-C00066
11000008	21000067	B-C00067
11000008	21000068	B-C00068
11000008	21000069	B-C00069
11000008	21000070	B-C00070
11000008	21000071	B-C00071
11000008	21000072	B-C00072
11000008	21000073	B-C00073
11000008	21000074	B-C00074
11000008	21000075	B-C00075
11000009	21000076	C-C00076
11000009	21000077	C-C00077
11000009	21000078	C-C00078
11000009	21000079	C-C00079
11000009	21000080	C-C00080
11000009	21000081	C-C00081
11000009	21000082	C-C00082
11000009	21000083	C-C00083
11000009	21000084	C-C00084
11000010	21000085	C-C00085
11000010	21000086	C-C00086
11000010	21000087	C-C00087
11000010	21000088	C-C00088
11000010	21000089	C-C00089
11000010	21000090	C-C00090
11000010	21000091	C-C00091
11000010	21000092	C-C00092
11000011	21000093	C-C00093
11000011	21000094	C-C00094
11000011	21000095	C-C00095
11000011	21000096	C-C00096
11000011	21000097	C-C00097
11000011	21000098	C-C00098
11000011	21000099	C-C00099
11000011	21000100	C-C00100
11000011	21000101	C-C00101
11000011	21000102	C-C00102
11000011	21000103	C-C00103
11000011	21000104	C-C00104
11000011	21000105	C-C00105
11000012	21000106	C-C00106
11000012	21000107	C-C00107
11000012	21000108	C-C00108
11000012	21000109	C-C00109
11000012	21000110	C-C00110
11000012	21000111	C-C00111
11000012	21000112	C-C00112
11000012	21000113	C-C00113
11000012	21000114	C-C00114
11000012	21000115	C-C00115
11000012	21000116	C-C00116
11000012	21000117	C-C00117
11000012	21000118	C-C00118
11000012	21000119	C-C00119
11000012	21000120	C-C00120
11000012	21000121	C-C00121
11000013	21000122	C-C00122
11000013	21000123	C-C00123
11000013	21000124	C-C00124
11000013	21000125	C-C00125
11000013	21000126	C-C00126
11000013	21000127	C-C00127
11000013	21000128	C-C00128
11000014	21000129	C-C00129
11000014	21000130	C-C00130
11000014	21000131	C-C00131
11000014	21000132	C-C00132
11000014	21000133	C-C00133
11000014	21000134	C-C00134
11000014	21000135	C-C00135
11000014	21000136	C-C00136
11000014	21000137	C-C00137
11000014	21000138	C-C00138
11000014	21000139	C-C00139
11000014	21000140	C-C00140
11000014	21000141	C-C00141
11000014	21000142	C-C00142
11000014	21000143	C-C00143
11000015	21000144	C-C00144
11000015	21000145	C-C00145
11000015	21000146	C-C00146
11000015	21000147	C-C00147
11000015	21000148	C-C00148
11000015	21000149	C-C00149
11000015	21000150	C-C00150
11000015	21000151	C-C00151
11000015	21000152	C-C00152
11000016	21000153	D-C00153
11000016	21000154	D-C00154
11000016	21000155	D-C00155
11000016	21000156	D-C00156
11000016	21000157	D-C00157
11000016	21000158	D-C00158
11000016	21000159	D-C00159
11000016	21000160	D-C00160
11000016	21000161	D-C00161
11000017	21000162	D-C00162
11000017	21000163	D-C00163
11000017	21000164	D-C00164
11000017	21000165	D-C00165
11000018	21000166	D-C00166
11000018	21000167	D-C00167
11000018	21000168	D-C00168
11000018	21000169	D-C00169
11000018	21000170	D-C00170
11000018	21000171	D-C00171
11000018	21000172	D-C00172
11000019	21000173	D-C00173
11000019	21000174	D-C00174
11000019	21000175	D-C00175
11000019	21000176	D-C00176
11000019	21000177	D-C00177
11000019	21000178	D-C00178
11000019	21000179	D-C00179
11000019	21000180	D-C00180
11000019	21000181	D-C00181
11000019	21000182	D-C00182
11000019	21000183	D-C00183
11000019	21000184	D-C00184
11000019	21000185	D-C00185
11000019	21000186	D-C00186
11000020	21000187	D-C00187
11000020	21000188	D-C00188
11000020	21000189	D-C00189
11000020	21000190	D-C00190
11000020	21000191	D-C00191
11000020	21000192	D-C00192
11000020	21000193	D-C00193
11000020	21000194	D-C00194
11000021	21000195	D-C00195
11000021	21000196	D-C00196
11000021	21000197	D-C00197
11000021	21000198	D-C00198
11000021	21000199	D-C00199
11000021	21000200	D-C00200
11000021	21000201	D-C00201
11000021	21000202	D-C00202
11000021	21000203	D-C00203
11000021	21000204	D-C00204
11000021	21000205	D-C00205
11000021	21000206	D-C00206
11000021	21000207	D-C00207
11000021	21000208	D-C00208
11000021	21000209	D-C00209
11000021	21000210	D-C00210
11000021	21000211	D-C00211
11000021	21000212	D-C00212
11000022	21000213	D-C00213
11000022	21000214	D-C00214
11000022	21000215	D-C00215
11000022	21000216	D-C00216
11000022	21000217	D-C00217
11000022	21000218	D-C00218
11000022	21000219	D-C00219
11000022	21000220	D-C00220
11000022	21000221	D-C00221
11000022	21000222	D-C00222
11000022	21000223	D-C00223
11000022	21000224	D-C00224
11000022	21000225	D-C00225
11000022	21000226	D-C00226
11000023	21000227	D-C00227
11000023	21000228	D-C00228
11000023	21000229	D-C00229
11000023	21000230	D-C00230
11000023	21000231	D-C00231
11000024	21000232	E-C00232
11000024	21000233	E-C00233
11000024	21000234	E-C00234
11000024	21000235	E-C00235
11000024	21000236	E-C00236
11000024	21000237	E-C00237
11000024	21000238	E-C00238
11000024	21000239	E-C00239
11000024	21000240	E-C00240
11000024	21000241	E-C00241
11000024	21000242	E-C00242
11000025	21000243	E-C00243
